Date,Open,High,Low,Close,Adj Close,Volume
2021-11-01,102.129997,102.949997,96.750000,97.010002,92.450073,55917000
2021-12-01,97.440002,105.230003,96.580002,104.900002,100.944397,64533600
2022-01-01,104.910004,105.320000,100.250000,105.059998,101.098351,63167100
2022-02-01,104.550003,105.760002,95.480003,100.410004,96.623711,64621900
2022-03-01,100.410004,112.550003,98.669998,111.660004,108.523705,61506700
2022-04-01,111.699997,116.330002,109.779999,110.160004,107.065842,54338000
2022-05-01,110.669998,114.500000,107.129997,112.519997,109.359543,66839400
2022-06-01,112.550003,112.730003,96.870003,107.209999,105.140953,60042800
2022-07-01,107.750000,110.419998,102.169998,109.930000,107.808456,44799500
2022-08-01,109.870003,113.669998,106.750000,106.910004,104.846748,56229000
2022-09-01,107.040001,111.260002,92.800003,93.019997,92.065483,53307900
2022-10-01,94.459999,97.330002,83.760002,93.180000,92.223846,76193600
2022-11-01,93.570000,100.419998,90.360001,99.930000,98.904579,70507300
2022-12-01,100.839996,105.519997,98.500000,102.989998,102.989998,63500700
2023-01-01,103.199997,106.430000,99.160004,102.449997,102.449997,54275100
2023-02-01,101.750000,103.830002,98.459999,101.809998,101.809998,14232300
2023-02-06,100.150002,101.910004,100.040001,101.809998,101.809998,2971752
